model,final_step,final_validation_loss,final_order_parameter,final_hidden_magnetization,n_embd,n_head,n_layer
10M,19000,2.6901150226593016,0.050956856459379196,3.2160346031188967,384,6,6
1M,19000,1.4866973400115966,0.11305180191993713,2.70710825920105,128,4,4
0.1M,19000,1.8187472581863404,0.21676743030548096,2.2690855503082275,64,2,2
10K,19000,2.195613384246826,0.36746832728385925,1.7884779453277588,32,2,1
